name,country_code,genres,spotify_followers,spotify_monthly_listeners,facebook_likes,facebook_talks,twitter_followers,twitter_retweets,youtube_channel_views,youtube_daily_video_views,youtube_monthly_video_views,TikTok_followers,TikTok_Genz_followers,TikTok_Genz_followers_percentage,TikTok_avg_engagements_per_post,TikTok_number_of_top_tracks,TikTok_total_creations_for_top_n_tracks,TikTok_avg_creations_for_top_n_tracks,TikTok_total_views_for_top_n_tracks,TikTok_avg_views_for_top_n_tracks,Instagram_followers,Instagram_Genz_followers,Instagram_Genz_followers_percentage,Instagram_avg_engagements_per_post,artist_id,Youtube_subscribers,Youtube_Genz_subscribers,Youtube_Genz_subscribers_percentage,Youtube_avg_engagements_per_post
Post Malone,US,"rap, pop, melodic rap, dfw rap, hip-hop/rap, electronic, insights_high_priority_artists, sony_high_priority_artists",41017440,61821318,12936113,46235,6998645,0,14295155088,6648847,200832303,14900000,9920420,66.58,247146,10,4855472,485547,3282776631,328277663,23712795,12985126.54,54.76,1111413,135326,25400000,17503140,68.91,57539
Daddy Yankee,PR,"reggaeton, latin hip hop, trap latino, latin, latino, latin urban, latin pop, latin hip-hop/rap, latin dance, insights_high_priority_artists, urbano latino",33121182,55653156,30678197,28133,16802193,,22620586275,13498539,306853746,14500000,9751250,67.25,141744,10,10496673,1049667,10182690703,1018269070,48431618,22380250.68,46.21,533996,1802,37900000,25381630,66.97,8488
David Guetta,FR,"pop, edm, dance pop, big room, electro house, tropical house, pop dance, rock, dance, electronic, house, insights_high_priority_artists",26182990,74922339,48397175,86051,19765692,0,17697539777,7416987,196870513,5700000,3254130,57.09,131373,10,1408400,140840,3239088173,323908817,10071896,4159693.05,41.3,91247,1006,25600000,16501760,64.46,13661
Madonna,US,"pop, dance pop, post-teen pop, rock, soul, dance, pop/rock, arabic, electronic, insights_high_priority_artists",7021619,41188401,18636358,25964,2839020,,5865415923,3607357,97487677,3800000,1334940,35.13,149133,10,3428700,342870,7693169025,769316902,18957030,5870992.19,30.97,193218,27,6490000,3181398,49.02,22157
Bizarrap,AR,"trap latino, argentine hip hop, trap argentino, pop venezolano, hip-hop/rap, electronic, r&b/soul, latin, latin hip-hop/rap, urbano latino",11279884,50305924,2300142,50361,5200517,,7542936955,9773831,288274817,10300000,8383170,81.39,1895349,10,12892300,1289230,19967038125,1996703812,19735319,14187720.83,71.89,2853665,648982,20500000,14620600,71.32,4197637
Lady Gaga,US,"pop, dance pop, art pop, rock, dance, electronic, insights_high_priority_artists, sony_high_priority_artists",26911718,54562415,56474877,9218,84156958,0,15669294074,8148017,221782479,8900000,6634950,74.55,761619,10,3048300,304830,1698558275,169855828,55296955,21930772.35,39.66,1216033,3188,23200000,14718080,63.44,219808
Peso Pluma,MX,"corrido, latin, latin pop, latin hip-hop/rap, nueva musica mexicana, sad sierreno",4671712,53635477,324875,46591,363849,967,791128528,42760143,1022900953,4200000,3242400,77.2,1164456,10,2711900,271190,3270996608,327099661,9388439,4587191.3,48.86,2009057,4251908,2590000,1798755,69.45,51748
Kendrick Lamar,US,"rap, hip hop, west coast rap, conscious hip hop, hip-hop/rap, insights_high_priority_artists",24434956,52620687,13880627,2360,12184756,,5762427764,3849164,119414763,,,,,10,5524377,552438,3519580906,351958091,12698714,5329650.27,41.97,1102257,3768,12100000,7780300,64.3,399534
Katy Perry,US,"pop, rock, pop/rock, insights_high_priority_artists, sony_high_priority_artists",27693482,53066731,71762310,50080,107446471,,25383357901,6330223,168618648,6900000,5484810,79.49,183264,10,5843600,584360,6537387715,653738772,201709135,90849794.4,45.04,331005,2482,44200000,30268160,68.48,9246
BLACKPINK,KR,"pop, k-pop, korean pop, k-pop girl group, dance, insights_high_priority_artists",42355151,24091547,19675087,406394,9440248,,31858658655,16525476,522351567,44600000,36799460,82.51,2087621,10,18093300,1809330,17394489112,1739448911,56007842,36825156.12,65.75,1358561,206548,89400000,64850760,72.54,835071
Maroon 5,US,"pop, rock, pop/rock, dance, insights_high_priority_artists, sony_high_priority_artists",40816288,58508457,37781133,8032,13852949,,22462420430,7221288,188121283,2700000,1882710,69.73,3408,10,6041900,604190,2093658860,209365886,8729709,4138755.04,47.41,32921,1546,36600000,24390240,66.64,8300
